Sample_ID,Group,Growth,Strain,Growth_Medium,Carbon_Source,Nitrogen_Source,Supplement,Description,File_Name,Gene_Sum,Source
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.015569521,Clim_H
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.015788827,Clim_H
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.014437170000000001,Clim_H
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.014821493,Clim_H
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.018712789,Clim_H
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.023089546999999995,Clim_I
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.0250273698,Clim_I
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.024127856399999998,Clim_I
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.0283905635,Clim_I
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.0304276171,Clim_I
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.0316644576,Clim_I
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.03651988799999999,Clim_I
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.035668028000000004,Clim_I
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.037336702,Clim_I
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.020904905,Clim_I
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.38828631999999996,Clim_J
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.32606485,Clim_J
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.32130727000000003,Clim_J
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.29974189100000004,Clim_J
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.28423682,Clim_J
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.26604748,Clim_J
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.26459831,Clim_J
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.23278427000000002,Clim_J
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.26239395,Clim_J
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.4120975,Clim_J
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.07622109299999999,Clim_K
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.08824083379999999,Clim_K
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.06459256,Clim_K
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.093954879,Clim_K
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.10656280300000001,Clim_K
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.10429433860000001,Clim_K
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.094219368,Clim_K
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.114535936,Clim_K
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.094139008,Clim_K
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.0696221023,Clim_K
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.023012368999999998,Clim_L
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.0221481705,Clim_L
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.022412749000000003,Clim_L
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.022976342,Clim_L
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.022336607999999997,Clim_L
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.023613391999999997,Clim_L
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.023949818999999997,Clim_L
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.023853378999999997,Clim_L
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.024041855,Clim_L
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.021437505000000003,Clim_L
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.07888253440000001,Clim_M
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.0887104275,Clim_M
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.07034736230000001,Clim_M
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.0821716735,Clim_M
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.07543819400000001,Clim_M
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.0894887261,Clim_M
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.07977997980000001,Clim_M
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.0924004992,Clim_M
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.0815026994,Clim_M
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.08522977570000001,Clim_M
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.0346192821,Clim_N
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.052249416199999996,Clim_N
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.06368526170000001,Clim_N
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.071973895,Clim_N
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.06908487300000002,Clim_N
c3,Clim,0.51,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C3_S4_L008_R1_001.fastq,0.0742092908,Clim_N
c3_1,Clim,0.46,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,400 µM 3MBA,Biological replicate of sample c3,C3_S4_L004_R1_001.fastq,0.06686431399999998,Clim_N
c4,Clim,0.3,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C4_S5_L008_R1_001.fastq,0.07471146699999999,Clim_N
c4_1,Clim,0.39,NQ1390,M9,0.2% glucose,11.34 mM (NH4)2SO4,40 µM 3MBA,Biological replicate of sample c4,C4_S5_L004_R1_001.fastq,0.07043533099999999,Clim_N
c5,Clim,0.91,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,NCM3722 (wild type) in M9 medium,Rohan_0_S1_L008_R1_001.fastq,0.037197382900000006,Clim_N
c0_1,Clim,0.95,NCM3722,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c5,Rf_S1_L004_R1_001.fastq,0.033160813,Clim_O
c1,Clim,0.75,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Titratable glucose uptake (Pu-ptsG),Rohan_C1_S2_L008_R1_001.fastq,0.035774311999999996,Clim_O
c1_1,Clim,0.78,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,300 µM 3MBA,Biological replicate of sample c1,C1_S2_L004_R1_001.fastq,0.033889866000000005,Clim_O
c2,Clim,0.56,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Titratable glucose uptake (Pu-ptsG),Rohan_C2_S3_L008_R1_001.fastq,0.034464510000000004,Clim_O
c2_1,Clim,0.59,NQ1243,M9,0.2% glucose,11.34 mM (NH4)2SO4,,Biological replicate of sample c2,C2_S3_L004_R1_001.fastq,0.032414963000000005,Clim_O
